TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
SmkAll		08-11-2016			YE			Trait	lifestyle		All smokers (current and ex)				SmkA2,SmkEx	F17 (Mental and behavioural disorders due to use of tobacco)	3051 (Nondependent abuse of tobacco)								10895=1(In your lifetime, have you smoked a total of at least 100 cigarettes or equivalent?),20160=1(ever smoked),20116=1 (Smoking status = previous)					0	1
SmkSig		08-11-2016			YE			Trait	lifestyle		All smokers (current and ex), excluding occasional smokers				SmkA,SmkEx	F17 (Mental and behavioural disorders due to use of tobacco)	3051 (Nondependent abuse of tobacco)													0	1
SmkEx		06-05-2021			MWY	MWY:Age of stop smoking removed [22507] , [2897]because SmkEx is included in other Smk* in which there age of start is taken		Trait	lifestyle		Ex-smoker (Age started)														20116=1(Smoking status = previous),22506=113(tobacco smoking online fu),1249≥1[2867]					0	1
Add		04-07-2017	1			The self-reported variable includes cognitive dysfunction		Trait	neurology		Alzheimer Disease and dementia					F00 (Dementia in Alzheimer's disease), F01 (Vascular dementia), F02 (Dementia in other diseases classified elsewhere), F03 (Unspecified dementia), G30 (Alzheimer's Disease)											1263 (dementia/alzheimers/cognitive impairment)			0	1
Epi		08-11-2016	1					Trait	neurology		Epilepsy (incl Status epilepticus)					G40(Epilepsy),G41(Status epilepticus)	345(Epilepsy)				dn (control of epilepsy)	dn (control of epilepsy)					1264 (epilepsy)	1140856468,1140856470,1140856484,1140856568,1140864452,1140872064,1140872072,1140872098,1140872112,1140872120,1140872132,1140872134,1140872152,1140872160,1140872162,1140872164,1140872172,1140872174,1140872180,1140872186,1140872198,1140872200,1140872214,1140872216,1140872228,1140872236,1140872268,1140872280,1140872284,1140872290,1140872302,1140872304,1140872306,1140909812,1140910612,1140910636,1140910706,1140910714,1140923484,1140927692,1141162898,1141167860,1141168436,1141168444,1141171566,1141171932,1141171940,1141172838,1141175204,1141175212,1141179712,1141181616,1141182592,1141185460,1141200004,1141200072,2018602634,2038459704,2038460068,2038460076		0	1
EpiRx		04-07-2017			MAS			Trait	neurology		Epilepsy (incl Status epilepticus and medication)				Epi, RxEpi															0	1
Depr		04-07-2017	1			did not add "depressed for a whole week"		Trait	psychological/psychiatric problem		Depression					F32 (Depressive episode), F33 (Recurrent depressive disorder), 	311 (Depressive disorder, not elsewhere classified)	A83 (Electroconvulsive therapy)							20126=3,20126=4,20126=5,20124=1,20125=1,20123=1		1286 (depression), 1531 (post-natal depression)			0	1
DeprRx		08-11-2016	1					Trait	psychological/psychiatric problem		Depression, including medication				Depr,RxDepr															0	1
DeprS		08-11-2016	1					Trait	psychological/psychiatric problem		Depression, severe					F32.2, F32.3, F33.2, F33.3		A83 (Electroconvulsive therapy)												0	1
Anx		04-07-2017	1					Trait	psychological/psychiatric problem		Anxiety					F40 (Phobic anxiety disorders), F41 (Other anxiety disorders)	3000 (Anxiety states)										1287 (anxiety/panic attacks)			0	1
Esrd		08-11-2016	1		YE			Trait	renal/urology		End stage renal disease					N180 (end-stage renal disease)		M01 (Transplantation of kidney), X40 (compensation for renal failure), X41 (placement of ambulatory apparatus for compensation of renal failure), X42 (placement of other apparatus for compensation for renal failure)									1193 (renal failure requiring dialysis)			0	1
Renf		08-11-2016	1		YE			Trait	renal/urology		Renal failure					N17(Acute renal failure),N18(Chronic renal failure),N19(Unspecified renal failure)	584 (Acute renal failure), 585 (Chronic renal failure), 586 (Renal failure, unspecified), 588 (Disorders resulting from impaired renal function)										1192 (renal/kidney failure), 1193 (renal failure requiring dialysis), 1194 (renal failure not requiring dialysis)			0	1
Asth		06-05-2021	1		MWY		(Touchscreen: _22127_=1 Doctor diagnosed; _22167_=1 - Recent medication for asthma, _6152_=8  various dvt/rhinitis....), (ICD10 ), (ICD9 , 493 Asthma includes intrinsic, extrensic, unspecified ) 	Trait	respiratory/ent		Asthma (any)					J45(Asthma), J46(Status asthmaticus)	493(Asthma)								6152=8[3786],22127=1[22147],22167=1		1111 (asthma)			0	1
Bt		06-05-2021	1		MWY			Trait	respiratory/ent		Bronchiectasis					J47(Bronchiectasis)	494(Bronchiectasis)								22134=1[22154]		1114 (bronchiectasis)			0	1
Cbr		06-05-2021	1		MWY			Trait	respiratory/ent		Chronic Bronchitis 					J41,J42	491(Chronic bronchitis)								22129=1[22149]					0	1
CbrEmp		06-05-2021	1		MWY			Trait	respiratory/ent		Emphysema + Chronic Bronchitis 				Emp, Cbr										6152=6[3992]		1113 (emphysema/chronic bronchitis)			0	1
Copd		06-05-2021	1		MWY			Trait	respiratory/ent		Chronic Obstructive Pulmonary Disease (incl. Asthma)				CbrEmp,Asth	J44(Other chronic obstructive pulmonary disease)	496(Chronic airways obstruction, not elsewhere classified),490(Bronchitis, not specified as acute or chronic),495(Extrinsic allergic alveolitis)								22130=1[22150]		1112 (chronic obstructive airways disease/copd)			0	1
CopdRx		04-07-2017			MAS			Trait	respiratory/ent		Chronic Obstructive Pulmonary Disease (incl. Asthma and incl. medication)				Copd,RxCopd															0	1
Emp		06-05-2021	1		MWY			Trait	respiratory/ent		Emphysema					J43(Emphysema)	492(Emphysema)								22128=1[22148]		1472 (emphysema)			0	1
Pah		08-11-2016	1		YE			Trait	respiratory/ent		Pulmonary hypertension					I270(Primary pulmonary hypertension)	4160 (Primary pulmonary hypertension)	X82 (primary pulmonary hypertension drugs)												0	1
PahRx		08-11-2016	1					Trait	respiratory/ent		Pulmonary hypertension (incl. medication)				Pah,RxPH															0	1
Pna		04-07-2017			YE			Trait	respiratory/ent		Pneumonia					J100(influenza with pneumonia, virus identified),J110(influenza with pneumonia, virus not identified),J12(Viral pneumonia, not elsewhere classified),J13(Pneumonia due to Streptococcus pneumoniae),J14(Pneumonia due to Haemophilus influenzae),J15(Bacterial pneumonia, not elsewhere classified),J16(Pneumonia due to other infectious organisms, not elsewhere classified),J17(Pneumonia in diseases classified elsewhere),J18(Pneumonia, organism unspecified)	480,481,482,483,485,486										1398 (pneumonia)			0	1
Sapn		08-11-2016	1		YE			Trait	respiratory/ent		Sleep apnoea					G473 (Sleep apnoea)											1123 (sleep apnoea)			0	1
Sob		08-11-2016	1		YE		(ICD9 includes - 7860 Dyspnoea and respiratory abnormalities)	Trait	respiratory/ent		Shortness of breath (Dyspnoea)					R060(Abnormalities of breathing)	7860(Dyspnoea and respiratory abnormalities)								4717=1					0	1
Syn		08-11-2016					Only available in ICD10 (not on touchscreen/self-reported)	Trait	cardiovascular disease		Syncope					R55 (syncope and collapse)	7802 (Syncope and collapse)													0	1
Diz		08-11-2016					Only available in ICD10 (not on touchscreen/self-reported)	Trait	cardiovascular disease		Dizziness					R42 (dizziness and giddiness)	7804 (Dizziness and giddiness)													0	1
Ath		08-11-2016	1				there is no clear consensus on definition in literature for ATH, should discuss how to proceed. 	Trait	cardiovascular disease		Atherosclerosis				Cad, NCad	I70(Atherosclerosis)	440(Atherosclerosis)													0	1
Cad		08-11-2016	1		YE		http://www.hcpro.com/HIM-284603-8160/What-to-expect-when-coding-CAD-MI-with-ICD10CM.html ; https://www.cms.gov/Medicare/Demonstration-Projects/DemoProjectsEvalRpts/downloads/MMA649_CAD_Appendices.pdf	Trait	cardiovascular disease		Coronary Artery Disease				Mi,Cabg, Pci	I24(I24 Other acute ischaemic heart diseases), I25(I25 Chronic ischaemic heart disease), Z955(Z95.5 Presence of coronary angioplasty implant and graft)	414(Other forms of chronic ischaemic heart disease)	K75												0	1
Pad		08-11-2016	1		YE			Trait	cardiovascular disease		Peripheral artery disease in extremities (incl. aneurysms)				PadInt	I739(Peripheral vascular disease, unspecified)	4439										1087 (leg claudication/ intermittent claudication), 1067 (peripheral vascular disease)			0	1
